Kod;Uprawnieni do głosowania;Ważnych kart;Oddane głosy;Trzecia Droga;Lewica;Prawo i Sprawiedliwość;Konfederacja;Koalicja Obywatelska;Data;Typ wyborów
663000;257526;195188;193293;34490;14776;63744;14736;58388;2023-10-15;Sejmowe
664000;45930;32244;31854;4633;2350;13401;2173;7913;2023-10-15;Sejmowe
801000;54222;39322;38380;5699;3814;10202;2968;14316;2023-10-15;Sejmowe
802000;40830;28004;27190;3867;1846;7366;1589;11646;2023-10-15;Sejmowe
803000;42919;29686;28771;5053;2620;8322;1947;9659;2023-10-15;Sejmowe
804000;62801;43883;42862;6253;3289;13464;2693;15551;2023-10-15;Sejmowe
805000;35993;25342;24641;3434;3230;6243;1678;9232;2023-10-15;Sejmowe
806000;36211;24245;23481;4732;1811;7528;1332;7291;2023-10-15;Sejmowe
807000;25903;17628;16893;2272;1165;5587;1160;5743;2023-10-15;Sejmowe
808000;41249;29224;28455;4573;2256;8285;1988;10239;2023-10-15;Sejmowe
809000;56889;40717;39537;6161;3441;10269;2793;15150;2023-10-15;Sejmowe
810000;56558;38092;37070;5634;3051;12222;2334;12495;2023-10-15;Sejmowe
811000;69712;47822;46658;6480;4352;13575;3280;17473;2023-10-15;Sejmowe
812000;28678;19387;18837;3043;1330;7238;1239;5315;2023-10-15;Sejmowe
861000;86213;64079;63121;9248;6042;16297;4057;25109;2023-10-15;Sejmowe
862000;103739;82049;81145;11484;9664;16932;4614;35872;2023-10-15;Sejmowe
1001000;84311;63970;62564;7072;4374;29072;6524;11539;2023-10-15;Sejmowe
1002000;72674;51424;50153;5427;4657;22508;2871;13042;2023-10-15;Sejmowe
1003000;38758;29202;28576;4362;2087;11950;1928;7350;2023-10-15;Sejmowe
1004000;38870;27235;26419;3225;1522;13050;1879;5760;2023-10-15;Sejmowe
1005000;60190;44570;43393;7244;2774;20205;4178;7532;2023-10-15;Sejmowe
1006000;57888;46420;45894;6103;3994;16604;3275;14477;2023-10-15;Sejmowe
1007000;57146;43228;42369;6263;1875;24437;3197;5361;2023-10-15;Sejmowe
1008000;91368;71474;70295;8951;7759;22126;4426;24560;2023-10-15;Sejmowe
1009000;39358;28858;28132;4610;1680;14939;1829;4232;2023-10-15;Sejmowe
1010000;70688;52543;51402;8225;2591;27191;3975;7656;2023-10-15;Sejmowe
1011000;32585;23656;22953;4613;1371;10717;1364;3971;2023-10-15;Sejmowe
1012000;85438;61574;60166;6269;3727;28181;3742;15700;2023-10-15;Sejmowe
1013000;37200;26986;26254;4695;1287;12863;2278;4226;2023-10-15;Sejmowe
1014000;89584;65542;64013;9344;3962;29300;4453;14256;2023-10-15;Sejmowe
1015000;29784;23041;22463;3516;1441;11898;1918;2698;2023-10-15;Sejmowe
1016000;86678;65810;64404;9223;4021;27981;4384;16648;2023-10-15;Sejmowe
1017000;58142;42865;41999;6591;2613;19392;2661;9383;2023-10-15;Sejmowe
1018000;32988;23807;23251;3954;1610;9804;1945;4452;2023-10-15;Sejmowe
1019000;49182;36576;35898;5825;1974;14292;2245;10357;2023-10-15;Sejmowe
