"Kod";"Nazwa";"ogółem;2018;[osoba]";"ogółem;2019;[osoba]";"ogółem;2020;[osoba]";"ogółem;2021;[osoba]";"ogółem;2022;[osoba]";"ogółem;2023;[osoba]";
2412000;"Powiat rybnicki";103;103;104;104;104;104;
2413000;"Powiat tarnogórski";106;106;106;106;107;107;
2414000;"Powiat bieruńsko-lędziński";103;103;103;103;103;103;
2415000;"Powiat wodzisławski";106;106;106;106;106;106;
2416000;"Powiat zawierciański";107;107;107;107;107;107;
2417000;"Powiat żywiecki";105;105;104;104;104;105;
2461000;"Powiat m. Bielsko-Biała";112;112;112;112;112;112;
2462000;"Powiat m. Bytom";109;110;109;109;110;110;
2463000;"Powiat m. Chorzów";110;110;111;111;111;111;
2464000;"Powiat m. Częstochowa";113;113;113;114;114;114;
2465000;"Powiat m. Dąbrowa Górnicza";109;109;109;109;110;110;
2466000;"Powiat m. Gliwice";108;108;108;109;109;109;
2467000;"Powiat m. Jastrzębie-Zdrój";105;105;106;106;106;106;
2468000;"Powiat m. Jaworzno";106;106;107;107;107;107;
2469000;"Powiat m. Katowice";110;110;112;112;112;112;
2470000;"Powiat m. Mysłowice";107;107;107;107;107;107;
2471000;"Powiat m. Piekary Śląskie";109;108;109;108;109;109;
2472000;"Powiat m. Ruda Śląska";107;107;107;107;108;108;
2473000;"Powiat m. Rybnik";105;105;105;105;106;106;
2474000;"Powiat m. Siemianowice Śląskie";110;110;111;111;111;111;
2475000;"Powiat m. Sosnowiec";111;111;112;112;113;113;
2476000;"Powiat m. Świętochłowice";108;109;109;109;109;109;
2477000;"Powiat m. Tychy";108;108;108;109;109;109;
2478000;"Powiat m. Zabrze";107;107;107;108;108;108;
2479000;"Powiat m. Żory";105;105;104;105;105;106;
2601000;"Powiat buski";105;105;104;104;104;104;
2602000;"Powiat jędrzejowski";102;102;102;102;103;103;
2603000;"Powiat kazimierski";103;103;103;103;103;103;
2604000;"Powiat kielecki";101;101;101;101;101;101;
2605000;"Powiat konecki";103;103;103;103;103;103;
2606000;"Powiat opatowski";101;101;101;102;102;102;
2607000;"Powiat ostrowiecki";109;109;109;109;109;110;
