Kod;Stopa bezrobocia;Ludność w miastach;Saldo migracji;Dochody własne gminy per capita;Miesięczne wynagrodzenie brutto w relacji do średniej krajowej;Ludność na aptekę;Łóżka w szpitalach ogólnych;Współczynnik feminizacji;Mediana wieku
414000;6.728571428571428;32.714999999999996;-0.2747659973703349;0.044238473490993115;87.0;1.0444881065633174;-0.23003445710386006;1.03;41.0
415000;9.457142857142857;12.68;1.0750944808559741;-0.33724607646906335;79.3;2.144896681329059;-0.40061849984726444;1.023;39.0
416000;10.585714285714285;28.10166666666667;-0.158522261484384;-0.5543376318329533;76.3;0.8213015202505588;-0.3688128983413469;1.003;40.2
417000;12.028571428571428;39.81166666666667;-0.16966892108988615;-0.23671003810716018;83.6;1.5394467662049665;-0.44843292077782715;1.0270000000000001;41.4
419000;9.585714285714285;42.05166666666667;-0.13272570639736478;-0.3147083272099114;76.8;-0.3706240961333388;-0.35322815360344734;1.0270000000000001;41.6
461000;2.7714285714285714;100.0;-1.2684110822036685;1.179743311165324;95.9;-0.6969230769813185;3.0932268255777773;1.137;43.9
462000;9.971428571428572;100.0;-0.295944650620789;0.4762120009580716;78.8;-0.7778988886748699;0.36324602965318836;1.107;43.8
463000;3.9142857142857146;100.0;-0.2787469472294428;0.979996984397938;96.4;-0.676990569487521;0.7456553784260036;1.15;42.5
464000;9.27142857142857;100.0;-0.5932419860989674;1.0849521892812437;87.6;-0.6119224320438273;0.09862342512395454;1.137;45.5
601000;9.714285714285714;19.821666666666665;-0.44323979540778147;-1.0090698668852538;77.3;0.032817521890154355;-0.37602216801602156;1.003;40.9
602000;5.671428571428572;33.44;-0.5024763293113071;-1.22870244299895;79.0;-1.0294509664211098;-0.21201128291717347;1.03;42.0
603000;13.442857142857145;9.966666666666667;-0.1946692862050838;-1.2214108182386363;76.5;1.0081687780049085;-0.4772699994765257;1.0170000000000001;41.6
604000;14.728571428571428;28.080000000000002;-0.5123490849618947;-1.2018560063814308;81.6;-0.7505875202338497;-0.17617697188717302;1.04;44.3
605000;10.77142857142857;28.94333333333333;-0.3013587424291757;-1.2376512552047896;82.6;-0.6665451689258679;-0.23268492389601986;1.02;42.7
606000;13.1;30.320000000000004;-0.27349209341542036;-1.0992208639218615;80.5;0.17560327268706763;-0.2564331063537716;1.05;44.7
607000;10.8;39.946666666666665;-0.46632930459060734;-1.264939608474449;77.0;-1.1743449632029437;-0.21487378705270604;1.06;43.4
608000;11.642857142857142;30.968333333333334;-0.2633008617761042;-1.1216481340179782;78.0;-1.077653135985437;-0.2707456270314345;1.045;41.6
609000;5.771428571428572;6.81;1.0575783014758993;-0.865888871591818;76.6;0.11638072638338127;-0.32884385911557723;1.04;40.4
610000;5.571428571428571;32.335;-0.19243995428398336;-0.17937135249196476;123.0;-0.43837545573965925;-0.2590835731459314;1.04;39.6
611000;4.228571428571429;29.698333333333334;-0.7254095214213498;-1.1447382790923055;75.7;0.09654404825253511;-0.028811018243088442;1.0170000000000001;39.5
612000;9.142857142857142;30.72333333333333;-0.3090021661586629;-1.3380768144036579;76.3;-0.7649619246764919;-0.27032155234468896;1.05;42.7
613000;7.685714285714286;31.24;-0.2285869790046832;-1.0796660520646562;80.1;-0.32721339471655897;-0.26332432001338707;1.025;42.3
614000;5.985714285714287;47.51333333333334;-0.32811072548238085;0.0032507040049865325;94.1;-0.5067017915236857;0.03872287562114312;1.093;44.6
615000;7.185714285714286;26.264999999999997;-0.37142345994947484;-1.2576479837141354;80.1;-0.5917024364611768;-0.21699416048643386;1.003;41.1
616000;7.3;45.375;-0.3898950672957356;-0.6985129395937044;78.8;-1.1327550196822325;-0.39298515548584423;1.02;42.3
617000;8.4;57.215;-0.1613885453829417;-0.542847798877307;92.9;-0.7451252465456457;-0.31559152515477823;1.08;43.5
618000;8.442857142857145;30.953333333333333;-0.5833692304483798;-1.0432079282630868;76.5;-1.1030479171674383;0.01571682386519611;1.032;43.3
619000;15.84285714285714;34.19;-0.21664412942735947;-0.9065452035887197;77.6;-0.8844611402763245;-0.2487997619923514;1.023;43.1
620000;10.228571428571428;10.501666666666667;-0.2919637007616811;-1.3065902529386662;73.1;0.33343423346727963;-0.44472226726880343;1.03;42.7
661000;8.857142857142858;100.0;-0.30263264638409026;-0.21881241369548093;82.5;-0.9580580910226532;0.14028876309670646;1.097;42.0
