"Kod";"Nazwa";"ogółem;2018;[-]";"ogółem;2019;[-]";"ogółem;2020;[-]";"ogółem;2021;[-]";"ogółem;2022;[-]";"ogółem;2023;[-]";
2007000;"Powiat łomżyński";39,3;39,7;40,4;40,7;41,1;41,6;
2008000;"Powiat moniecki";41,3;41,6;42,3;42,6;43,2;43,6;
2009000;"Powiat sejneński";42,2;42,8;43,6;44,0;44,4;44,9;
2010000;"Powiat siemiatycki";43,7;44,2;45,0;45,4;45,8;46,3;
2011000;"Powiat sokólski";42,4;42,9;43,9;44,1;44,5;45,0;
2012000;"Powiat suwalski";38,8;39,3;39,9;40,3;40,7;41,2;
2013000;"Powiat wysokomazowiecki";40,6;41,0;41,7;41,9;42,3;42,7;
2014000;"Powiat zambrowski";40,3;40,8;41,6;42,0;42,4;42,8;
2061000;"Powiat m. Białystok";40,7;41,1;41,1;41,4;41,8;42,3;
2062000;"Powiat m. Łomża";40,8;41,3;42,1;42,6;43,1;43,8;
2063000;"Powiat m. Suwałki";39,4;39,8;40,4;40,8;41,3;41,8;
2201000;"Powiat bytowski";37,9;38,2;39,0;39,4;39,8;40,4;
2202000;"Powiat chojnicki";38,4;38,8;39,5;39,8;40,2;40,6;
2203000;"Powiat człuchowski";39,7;40,3;41,3;41,7;42,3;42,8;
2204000;"Powiat gdański";37,2;37,6;37,6;38,0;38,5;39,0;
2205000;"Powiat kartuski";34,6;34,8;35,2;35,5;35,8;36,2;
2206000;"Powiat kościerski";37,3;37,8;38,3;38,6;39,0;39,5;
2207000;"Powiat kwidzyński";38,7;39,1;40,2;40,6;41,1;41,7;
2208000;"Powiat lęborski";39,2;39,6;40,4;40,8;41,3;41,7;
2209000;"Powiat malborski";40,6;41,0;41,9;42,2;42,7;43,2;
2210000;"Powiat nowodworski";40,0;40,5;41,5;42,0;42,5;43,0;
2211000;"Powiat pucki";37,9;38,3;38,6;38,9;39,4;39,9;
2212000;"Powiat słupski";39,2;39,7;40,6;41,0;41,5;42,1;
